Time [s], Analyzer Name, Decoded Protocol Result
3.669517500000000,ch 1 - async serial,0x55
3.669604625000000,ch 1 - async serial,0x2C
3.669691708333333,ch 1 - async serial,0x04
3.669778833333333,ch 1 - async serial,0x36
3.669865958333333,ch 1 - async serial,0x0B
3.669953083333333,ch 1 - async serial,0x03
3.670040208333333,ch 1 - async serial,0x01
3.670127291666667,ch 1 - async serial,0x00
3.670214416666667,ch 1 - async serial,0x40
3.670301583333333,ch 1 - async serial,0x0D
3.670388666666667,ch 1 - async serial,0x02
3.670475750000000,ch 1 - async serial,0x00
3.670562875000000,ch 1 - async serial,0x33
3.670650000000000,ch 1 - async serial,0x2D
3.670737083333333,ch 1 - async serial,0x00
3.670824208333333,ch 1 - async serial,0x00
3.670911333333333,ch 1 - async serial,0xFC
3.670998458333333,ch 1 - async serial,0xFF
3.671085583333333,ch 1 - async serial,0xFF
3.671172708333333,ch 1 - async serial,0xFF
3.671259791666666,ch 1 - async serial,0xA8
3.671346875000000,ch 1 - async serial,0x0E
3.671433958333334,ch 1 - async serial,0x00
3.671521083333333,ch 1 - async serial,0x00
3.671608166666667,ch 1 - async serial,0xCE
3.671695291666667,ch 1 - async serial,0x07
3.671782333333333,ch 1 - async serial,0x00
3.671869458333333,ch 1 - async serial,0x00
3.671956541666667,ch 1 - async serial,0x02
3.672043666666667,ch 1 - async serial,0x01
3.672130750000000,ch 1 - async serial,0x03
3.672217833333333,ch 1 - async serial,0x36
3.672304916666667,ch 1 - async serial,0x00
3.672392000000000,ch 1 - async serial,0x00
3.672479125000000,ch 1 - async serial,0x00
3.672566291666667,ch 1 - async serial,0x00
3.672653375000000,ch 1 - async serial,0x00
3.672740458333333,ch 1 - async serial,0x00
3.672827583333333,ch 1 - async serial,0x00
3.672914708333333,ch 1 - async serial,0x00
3.673001833333333,ch 1 - async serial,0x10
3.673088916666666,ch 1 - async serial,0x01
3.673176041666667,ch 1 - async serial,0x8D
3.673263166666667,ch 1 - async serial,0x3F
3.673716083333333,ch 1 - async serial,0x55
3.673803166666667,ch 1 - async serial,0x2C
3.673890291666666,ch 1 - async serial,0x04
3.673977416666667,ch 1 - async serial,0x36
3.674064583333333,ch 1 - async serial,0x0B
3.674151666666666,ch 1 - async serial,0x09
3.674238791666667,ch 1 - async serial,0x02
3.674325916666667,ch 1 - async serial,0x00
3.674413041666666,ch 1 - async serial,0x00
3.674500166666667,ch 1 - async serial,0x0D
3.674587333333333,ch 1 - async serial,0x02
3.674674416666666,ch 1 - async serial,0x00
3.674761500000000,ch 1 - async serial,0x33
3.674848625000000,ch 1 - async serial,0x2D
3.674935750000000,ch 1 - async serial,0x00
3.675022875000000,ch 1 - async serial,0x00
3.675109958333334,ch 1 - async serial,0xFC
3.675197083333333,ch 1 - async serial,0xFF
3.675284208333333,ch 1 - async serial,0xFF
3.675371291666667,ch 1 - async serial,0xFF
3.675458458333333,ch 1 - async serial,0xA8
3.675545583333333,ch 1 - async serial,0x0E
3.675632666666667,ch 1 - async serial,0x00
3.675719750000000,ch 1 - async serial,0x00
3.675806875000000,ch 1 - async serial,0xCE
3.675893958333333,ch 1 - async serial,0x07
