Time [s],Value,Parity Error,Framing Error
9.470378500000001,85,,
9.470465166666667,15,,
9.470551833333333,4,,
9.470638541666666,162,,
9.470725208333333,3,,
9.470811875000001,11,,
9.470898541666667,0,,
9.470985208333333,0,,
9.471071916666666,128,,
9.471158583333333,13,,
9.471245250000001,2,,
9.471331916666667,0,,
9.471418583333334,0,,
9.471505291666666,48,,
9.471591958333333,193,,
9.471678624999999,85,,
9.471765291666667,18,,
9.471851958333334,4,,
9.471938666666667,199,,
9.472025333333333,3,,
9.472111999999999,11,,
9.472198666666667,21,,
9.472285333333334,0,,
9.472372041666667,128,,
9.472458708333333,14,,
9.472545374999999,1,,
9.472632041666667,0,,
9.472718708333334,0,,
9.472805375000000,136,,
9.472892083333333,19,,
9.472978749999999,1,,
9.473065416666667,149,,
9.473152083333334,141,,
9.473238750000000,85,,
9.473325458333333,15,,
9.473412124999999,4,,
9.473498791666668,162,,
9.473585458333334,3,,
9.473672125000000,11,,
9.473758833333333,22,,
9.473845499999999,0,,
9.473932166666666,128,,
9.474018833333334,14,,
9.474105500000000,2,,
9.474192208333333,0,,
9.474278875000000,1,,
9.474365541666666,112,,
9.474452208333334,24,,
9.474538875000000,85,,
9.474625583333333,15,,
9.474712250000000,4,,
9.474798916666666,162,,
9.474885583333334,3,,
9.474972250000000,11,,
9.475058958333333,0,,
9.475145625000000,0,,
9.475232291666666,128,,
9.475318958333334,13,,
9.475405625000000,2,,
9.475492333333333,0,,
9.475579000000000,0,,
9.475665666666666,48,,
9.475752333333334,193,,
9.690376458333333,85,,
9.690463125000001,17,,
9.690549791666667,4,,
9.690636500000000,146,,
9.690723166666666,3,,
9.690809833333333,11,,
9.690896499999999,26,,
9.690983166666667,0,,
9.691069875000000,128,,
9.691156541666667,14,,
9.691243208333333,34,,
9.691329874999999,0,,
9.691416541666667,0,,
9.691503250000000,136,,
9.691589916666667,19,,
9.691676583333333,200,,
9.691763249999999,127,,
9.710407000000000,85,,
9.710493666666666,15,,
9.710580374999999,4,,
9.710667041666667,162,,
9.710753708333334,3,,
9.710840375000000,11,,
9.710927041666666,27,,
9.711013708333333,0,,
9.711100416666667,128,,
9.711187083333334,14,,
9.711273750000000,35,,
9.711360416666666,0,,
9.711447083333333,0,,
9.711533791666668,81,,
9.711620458333334,126,,
9.711707125000000,85,,
9.711793791666667,15,,
9.711880458333333,4,,
9.711967166666666,162,,
9.712053833333334,3,,
9.712140500000000,11,,
9.712227166666667,0,,
9.712313833333333,0,,
9.712400541666666,128,,
9.712487208333334,13,,
9.712573875000000,2,,
9.712660541666667,0,,
9.712747208333333,0,,
9.712833916666666,48,,
9.712920583333334,193,,
10.450462416666667,85,,
10.450549083333334,17,,
10.450635750000000,4,,
10.450722416666666,146,,
10.450809124999999,3,,
10.450895791666667,11,,
10.450982458333334,38,,
10.451069125000000,3,,
10.451155791666666,32,,
10.451242499999999,13,,
10.451329166666667,3,,
10.451415833333334,1,,
10.451502500000000,0,,
10.451589166666666,0,,
10.451675874999999,0,,
10.451762541666668,1,,
10.451849208333334,67,,
10.690447583333333,85,,
10.690534250000001,15,,
10.690620916666667,4,,
10.690707625000000,162,,
10.690794291666666,3,,
10.690880958333333,11,,
10.690967625000001,31,,
10.691054291666667,0,,
10.691141000000000,128,,
10.691227666666666,14,,
10.691314333333333,2,,
10.691401000000001,0,,
10.691487666666667,1,,
10.691574375000000,73,,
10.691661041666666,89,,
10.691747708333333,85,,
10.691834374999999,17,,
10.691921041666667,4,,
10.692007750000000,146,,
10.692094416666666,3,,
10.692181083333333,11,,
10.692267749999999,32,,
10.692354416666667,0,,
10.692441125000000,128,,
10.692527791666667,14,,
10.692614458333333,34,,
10.692701124999999,0,,
10.692787791666667,0,,
10.692874500000000,136,,
10.692961166666667,19,,
10.693047833333333,85,,
10.693134499999999,147,,
10.710469458333334,85,,
10.710556125000000,15,,
10.710642833333333,4,,
10.710729499999999,162,,
10.710816166666667,3,,
10.710902833333334,11,,
10.710989500000000,0,,
10.711076208333333,0,,
10.711162874999999,128,,
10.711249541666668,13,,
10.711336208333334,2,,
10.711422875000000,0,,
10.711509541666667,0,,
10.711596249999999,48,,
10.711682916666666,193,,
11.450680916666666,85,,
11.450767583333333,17,,
11.450854250000001,4,,
11.450940958333334,146,,
11.451027625000000,3,,
11.451114291666666,11,,
11.451200958333333,103,,
11.451287625000001,5,,
11.451374333333334,32,,
11.451461000000000,13,,
11.451547666666666,3,,
11.451634333333333,1,,
11.451720999999999,0,,
11.451807666666667,0,,
11.451894375000000,0,,
11.451981041666667,46,,
11.452067708333333,245,,
11.490438666666666,85,,
11.490525333333334,17,,
11.490612000000000,4,,
11.490698666666667,146,,
11.490785333333333,4,,
11.490872000000000,11,,
11.490958708333334,246,,
11.491045375000001,34,,
11.491132041666667,32,,
11.491218708333333,13,,
11.491305375000000,2,,
11.491392083333333,0,,
11.491478750000001,0,,
11.491565416666667,0,,
11.491652083333333,1,,
11.491738750000000,254,,
11.491825458333333,15,,
11.690648749999999,85,,
11.690735458333334,17,,
11.690822125000000,4,,
11.690908791666667,146,,
11.690995458333333,3,,
11.691082124999999,11,,
11.691168833333334,36,,
11.691255500000000,0,,
11.691342166666667,128,,
11.691428833333333,14,,
11.691515500000000,34,,
11.691602208333334,0,,
11.691688875000001,0,,
11.691775541666667,136,,
11.691862208333333,19,,
11.691948875000000,176,,
11.692035583333332,172,,
11.710687999999999,85,,
11.710774666666667,15,,
11.710861333333334,4,,
11.710948000000000,162,,
11.711034666666666,3,,
11.711121374999999,11,,
11.711208041666668,0,,
11.711294708333334,0,,
11.711381375000000,128,,
11.711468041666667,13,,
11.711554749999999,2,,
11.711641416666666,0,,
11.711728083333334,0,,
11.711814750000000,48,,
11.711901416666667,193,,
12.450769458333333,85,,
12.450856125000000,17,,
12.450942791666666,4,,
12.451029500000001,146,,
12.451116166666667,3,,
12.451202833333333,11,,
12.451289500000000,158,,
12.451376166666666,7,,
12.451462875000001,32,,
12.451549541666667,13,,
12.451636208333333,3,,
12.451722875000000,1,,
12.451809541666666,0,,
12.451896208333334,0,,
12.451982916666667,0,,
12.452069583333333,111,,
12.452156250000000,230,,
12.470661333333334,85,,
12.470748000000000,17,,
12.470834666666667,4,,
12.470921333333333,146,,
12.471008041666666,4,,
12.471094708333334,11,,
12.471181375000000,198,,
12.471268041666667,42,,
12.471354708333333,32,,
12.471441416666666,13,,
12.471528083333334,2,,
12.471614750000001,0,,
12.471701416666667,0,,
12.471788083333333,0,,
12.471874750000000,1,,
12.471961458333332,239,,
12.472048125000001,42,,
12.690720000000001,85,,
12.690806666666667,15,,
12.690893333333333,4,,
12.690980000000000,162,,
12.691066666666666,3,,
12.691153375000001,11,,
12.691240041666667,41,,
12.691326708333333,0,,
12.691413375000000,128,,
12.691500041666666,14,,
12.691586750000001,2,,
12.691673416666667,0,,
12.691760083333333,1,,
12.691846750000000,206,,
12.691933416666666,215,,
12.710793875000000,85,,
12.710880541666667,17,,
12.710967208333333,4,,
12.711053874999999,146,,
12.711140583333334,3,,
12.711227250000000,11,,
12.711313916666667,42,,
12.711400583333333,0,,
12.711487249999999,128,,
12.711573958333334,14,,
12.711660625000000,34,,
12.711747291666667,0,,
12.711833958333333,0,,
12.711920624999999,136,,
12.712007333333334,19,,
12.712094000000000,101,,
12.712180666666667,119,,
12.712267333333333,85,,
12.712353999999999,15,,
12.712440708333334,4,,
12.712527375000001,162,,
12.712614041666667,3,,
12.712700708333333,11,,
12.712787375000000,43,,
12.712874083333332,0,,
12.712960750000001,128,,
12.713047416666667,14,,
12.713134083333333,35,,
12.713220750000000,0,,
12.713307458333333,0,,
12.713394125000001,27,,
12.713480791666667,168,,
12.713567458333333,85,,
12.713654125000000,15,,
12.713740833333333,4,,
12.713827500000001,162,,
12.713914166666667,3,,
12.714000833333333,11,,
12.714087500000000,0,,
12.714174208333333,0,,
12.714260875000001,128,,
12.714347541666667,13,,
12.714434208333333,2,,
12.714520875000000,0,,
